sensor_id,day,time,avg_hourly_counts,sensor_description,latitude,longitude,location
50,Saturday,3,9.081180811808117,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,4,9.755555555555556,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,5,8.725925925925926,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,6,12.707407407407407,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,7,30.392592592592592,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,8,77.14074074074074,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,9,180.85555555555555,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,10,296.24074074074076,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,11,371.94814814814816,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,12,443.81851851851854,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,13,464.94444444444446,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,14,479.8888888888889,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,15,484.5,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,16,448.3259259259259,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,17,458.05555555555554,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,18,518.1296296296297,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,19,579.837037037037,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,20,580.7518518518518,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Saturday,21,506.3037037037037,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
